設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
19	４	３	20	X (旧Twitter)@Instagram	テレビ番組	はい	身の周りの環境	いいえ	特になし	中学生	いいえ	はい	間食をやめる	間食をやめる	2	1234385166
18	２	３	120	X (旧Twitter)@Instagram@Tik Tok	音楽	いいえ	いいえと回答	いいえ	いない	ない	いいえ	いいえ	ない	運動をする	2	1234062932
20	３	１	1	X (旧Twitter)	アニメ、漫画	はい	身の周りの環境	いいえ	なし	なし	いいえ	はい	わからない	なし	2	1230687146
20	５	２	45	X (旧Twitter)@Instagram	テレビ番組	いいえ	理想のモデルの影響	いいえ	モデル	痩せている人を見たとき	いいえ	はい	食事制限	栄養を摂る	2	1233949227
17	１	２	60	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	KPOPアイドル	中学生あたり、芸能人や周囲の人間と比較して	はい	いいえ	バランスの良い食事、運動、睡眠	規則正しく生きる	2	1237656144
17	１	１より痩せている	35	Instagram	モデル (人)	はい	理想のモデルの影響	いいえ	moderu	モテたい	はい	はい	マッサージ	食べすぎない	2	1237373577
14	２	１より痩せている	86	X (旧Twitter)@Instagram	モデル (人)	はい	身の周りの環境	はい	YouTube、モデル	ゆりにゃを見て綺麗だなって思ったから	はい	はい	食べない	デブは甘え	2	1233588493
19	３	３	40	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	アスリート	大学生の時　##周りの外見が気になってきた	いいえ	いいえ	間食しない	お菓子を控える	2	1233409417
18	４	１	480	X (旧Twitter)@Instagram@Tik Tok	風景	いいえ	健康状態の改善（病気予防・治療）	いいえ	なし	なし	いいえ	いいえ	なし	なさ	2	1234874088
16	１	１	68	該当なし	該当なし	いいえ	いいえと回答	いいえ	サクラ	サクラ	はい	はい	サクラ	サクラ	2	1233910823
20	３	１	120	X (旧Twitter)@Instagram@Tik Tok@BeReal.	音楽	はい	身の周りの環境	いいえ	アイドル	大学生1年##一人暮らしするようになってから	いいえ	はい	食事制限、筋トレ	きちんと食べて痩せる	2	1237474965
17	２	３	45	X (旧Twitter)@Instagram@Facebook@Tik Tok	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	いない	なし	いいえ	はい	しっかり食べて運動する。	運動する	2	1235348272
18	２	１	100	X (旧Twitter)@Instagram@Tik Tok@BeReal.	音楽	はい	身の周りの環境	いいえ	女優	高校生、同級生が痩せたから	はい	はい	毎日の運動とカロリー計算	ジムにかよう	2	1236673828
21	４	１	53	X (旧Twitter)@Instagram@Facebook@Tik Tok	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	トレーナー	友達の結婚式の参列	いいえ	はい	無理せず食べて運動をする	3食食べて運動する	2	1238322805
20	２	２	0	該当なし	該当なし	はい	その他	いいえ	コスプレイヤー、セクシー女優	覚えていない	いいえ	はい	分からない	特にない	2	1235009358
24	５	１	540	X (旧Twitter)@Instagram@Tik Tok@BeReal.	モデル (人)	はい	理想のモデルの影響	いいえ	モデル	体型が気になり始めてから	はい	はい	無理をしないこと	無理をしないこと	2	1237485368
22	３	１より痩せている	400	X (旧Twitter)@Instagram@Tik Tok@BeReal.	アニメ、漫画	はい	身の周りの環境	いいえ	アイドル・モデル	中学生の時、アイドルを目指しだしたから	はい	はい	食事をやせやすいのにする	脂っこいものは食べすぎない	2	1238673575
12	１より痩せている	１	623	X (旧Twitter)@Instagram@Tik Tok@BeReal.	モデル (人)	いいえ	いいえと回答	いいえ	アイドル、モデル、女優	大学に入ってからで、YouTubeやティックトックを見て比べた時から	いいえ	はい	筋トレをする	野菜など健康的な食事をする	2	1233836261
36	５	１	12	X (旧Twitter)@Instagram@Facebook@Tik Tok	該当なし	はい	その他	いいえ	事務職	自分が一生大切にしたいと思う人ができたから	はい	はい	食事管理、運動	間食をし過ぎない	2	1237482919
19	５	５	150	X (旧Twitter)@Instagram	アニメ、漫画	いいえ	いいえと回答	いいえ	看護師	中学生の時に、その人を見て引き締まっていてとてもかっこいいと思ったから。##	いいえ	はい	筋トレをする	筋トレをする	2	1234917514
18	１	４	1	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	特になし	特になし	いいえ	はい	食べる	特になし	2	1228614098
18	３	１	67	X (旧Twitter)@Instagram@Tik Tok	音楽	はい	身の周りの環境	いいえ	モデル	高校の時に受験ぶとりしたから	いいえ	はい	有酸素運動、筋トレ	食事と運動をしっかりする	2	1233467966
21	４	２	200	X (旧Twitter)@Instagram	該当なし	はい	スポーツ・パフォーマンス向上	いいえ	ダンサー	身体が重くなってきたから	いいえ	はい	筋トレ	食事管理	2	1232022215
25	５	３	46	X (旧Twitter)@Tik Tok	該当なし	いいえ	いいえと回答	いいえ	企業所属のVTuber	学生の頃、個人的に痩せてた方がシュッとしててかっこいいと思ったから。	いいえ	はい	筋トレ、無理のない範囲での食事制限	間食を食べ過ぎない	2	1237791741
16	１より痩せている	３	245	X (旧Twitter)@Instagram	音楽	いいえ	いいえと回答	いいえ	特に思い浮かばない。こうなりたいと思う体型もあまりない。	理想の体型が特にない。	いいえ	いいえ	自分に近しい体型の人のストレッチ方法を見たりしてはいる。	昼にたくさん食べたら夜は少なくする。運動していない日はお茶を多めに飲む。	2	1230639513
18	２	２	350	X (旧Twitter)@Instagram@Tik Tok	アニメ、漫画	はい	身の周りの環境	いいえ	なし	なし	はい	はい	運動	食事	2	1236149515
20	３	３	219	X (旧Twitter)@Instagram@Tik Tok	テレビ番組	いいえ	いいえと回答	いいえ	特になし	5年程前、時代の変化により体型をあまり気にしなくなってから、自分がどんな体型であっても受け入れられるようになった。	はい	いいえ	あまり気にしない	あまり気にしない	2	1230897517
17	１	１より痩せている	140	X (旧Twitter)@Instagram@Tik Tok@BeReal.	動物	はい	理想のモデルの影響	いいえ	aespa ニンニン	ニンニンのカムバ	いいえ	いいえ	運動	栄養のある食事	2	1237548044
23	４	２	90	X (旧Twitter)@Instagram@Tik Tok@BeReal.	音楽	いいえ	いいえと回答	いいえ	なし	なし	いいえ	はい	不明	なし	2	1238743386
39	８	８	13時間	X (旧Twitter)@Instagram@Tik Tok	音楽	はい	健康状態の改善（病気予防・治療）	いいえ	わからない	分からない	いいえ	いいえ	わからない	ウォーキング	2	1237512466
15	１	２	80	X (旧Twitter)@Instagram	該当なし	いいえ	いいえと回答	いいえ	マラソン選手	とくにない	いいえ	はい	筋トレ	ランニングする	2	1237301445
18	３	２	210	Instagram	音楽	いいえ	いいえと回答	いいえ	俳優	中学生	いいえ	はい	健康的な生活	栄養バランスの良い食事	2	1237565907
21	３	１より痩せている	60	X (旧Twitter)@Instagram	モデル (人)	はい	理想のモデルの影響	いいえ	女優	男性にもてたい	はい	はい	食事の改善	夜食べすぎない##できるだけ歩く	2	1237665600
19	２	１	300	Instagram@Tik Tok@BeReal.	モデル (人)	はい	健康状態の改善（病気予防・治療）	はい	モデル	新体操をしていたこと	はい	はい	よく寝る	バランスの良い食事を摂ること	2	1234192924
19	４	３	125	X (旧Twitter)@Instagram@BeReal.	音楽	いいえ	いいえと回答	いいえ	アスリート	中学生##周りにスリムな体型の子がいたから	いいえ	はい	ダイエット##運動	食事内容と早寝早起き	2	1237579797
18	４	１より痩せている	240	X (旧Twitter)@Instagram@Tik Tok	音楽	はい	身の周りの環境	はい	アイドル	高校の時、デブすぎて泣いたから	はい	はい	糖質制限	食事	2	1236150874
23	３	２	180	X (旧Twitter)@Instagram	テレビ番組	いいえ	いいえと回答	いいえ	特に無し。	なし	いいえ	いいえ	運動	野菜を食べる	2	1231881976
21	２	１	970	X (旧Twitter)@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	考えたこともないです。	部活で動きやすい体型がいいと思ったから	いいえ	はい	足の肉をほぐすこと	ご飯をしっかりと食べること	2	1237500761
17	１	１より痩せている	300	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	身の周りの環境	いいえ	アイドル	写真集	いいえ	はい	ご飯を減らす	ウォーキング	2	1237654611
29	６	２	400	X (旧Twitter)@Instagram@Tik Tok	音楽	はい	身の周りの環境	いいえ	YouTuberてんちむ##	1年前くらい##健康的で肉もあるくらいがいいから	いいえ	はい	食事制限、運動	とくになし	2	1237586514
23	４	３	60	Instagram	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	スピードスケートの選手	オリンピック##太ももフェチだから。	はい	いいえ	1日一万歩歩く	マッサージやストレッチをやる	2	1237724265
10未満	３	１	60	Tik Tok	アニメ、漫画	はい	身の周りの環境	いいえ	モデルさんのような体型に憧れます。	現在ダイエット中です。##これ以上太るとまずいと感じ##ダイエットを始めました。	いいえ	はい	油物をなるべく食べずに##タンパク質の物を取り##ご飯の量も一定を保ち##おやつやジュースをなるべく##とらない事です。##長続きさせる為に##週1で少しならご褒美で食べています。##	ある程度の運動や体操を1日##必ずしています。	2	1238743397
23	３	２	64	X (旧Twitter)@Instagram	アニメ、漫画	いいえ	いいえと回答	いいえ	アパレル店員	可愛い服をかっこよく着たいから	いいえ	いいえ	バランスよく食べる	無理はしない	2	1237920912
18	２	１	365	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	はい	理想のモデルの影響	いいえ	スポーツトレーナー	2020年頃。コロナ禍で外出できず、家で筋トレを何気なく始めたことがきっかけでダイエットを決意。理想の体型を求めてだした	いいえ	はい	食事と運動	たくさん寝る事。笑う事	2	1237599638
18	１	１	240	X (旧Twitter)@Instagram@BeReal.	アニメ、漫画	いいえ	いいえと回答	いいえ	特になし	特になし	いいえ	いいえ	ダイエット	特になし	2	1232974136
20	４	１より痩せている	420	X (旧Twitter)@Instagram	モデル (人)	はい	身の周りの環境	いいえ	アイドル	中学生##友達に体型に関して悪く言われたこと	いいえ	はい	ランニング	水をたくさん飲む	2	1237585334
22	４	３	40	X (旧Twitter)@Instagram@Facebook@Tik Tok	該当なし	いいえ	いいえと回答	いいえ	特になし	2年程前。コロナ禍で運動する人が周りに増えたから。	いいえ	いいえ	運動をする。ウォーキングや腹筋を鍛える。	食事量。	2	1233571422
11	１より痩せている	１より痩せている	1	X (旧Twitter)@Instagram	アニメ、漫画	はい	その他	いいえ	いない	健康のため	いいえ	はい	食事制限	運動	2	1234288811
22	４	１	122	X (旧Twitter)@Instagram@Tik Tok@BeReal.	モデル (人)	はい	理想のモデルの影響	いいえ	インフルエンサー	SNSのお勧めに流れてきて、その人がかわいいなと思った時。	いいえ	はい	ダイエット	栄養バランスの良い食事や、適度な筋トレなどの運動	2	1236184424
20	３	１	97	X (旧Twitter)@Instagram@Tik Tok	テレビ番組	はい	健康状態の改善（病気予防・治療）	いいえ	歌手	2024年のヴィクトリアズシークレットのショーを見たこと	いいえ	はい	運動と筋トレに加えて食事内容の改善	歩くスピードや自転車を漕ぐスピードを上げることと筋トレをすることを心がけている	2	1231511082
19	５	３	10	X (旧Twitter)@Instagram	該当なし	いいえ	健康状態の改善（病気予防・治療）	いいえ	モデル	なし	いいえ	いいえ	なし	なし	2	1235892759
18	２	４	300	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	程よく痩せている人	痩せすぎていると不健康に見えるから	いいえ	いいえ	よく食べて寝る	特にない	2	1238717867
16	２	３	240	X (旧Twitter)@Instagram@Tik Tok	アニメ、漫画	いいえ	いいえと回答	いいえ	OL	高校時代##食べてもあまり太らなく、洋服をかわいく着こなせないため	いいえ	はい	食事の栄養バランス	しっかり睡眠をとること	2	1231884916
22	４	３	120	X (旧Twitter)	アニメ、漫画	はい	健康状態の改善（病気予防・治療）	いいえ	なし	洋服が綺麗に着ているのをみて	はい	はい	筋トレ	こまめに動く	2	1236182378
23	５	２	75	X (旧Twitter)@Instagram@Facebook@Tik Tok	該当なし	はい	理想のモデルの影響	いいえ	女優	20代中盤。##体重の数字のヤバさ(デブすぎ)を自覚して	いいえ	はい	間食を控えて動く時間を増やす。##健康的な食事を意識する。	適度な運動	2	1237873928
24	５	４	180	X (旧Twitter)@Instagram@Tik Tok	音楽	いいえ	いいえと回答	いいえ	特になし	友達と並んで写真を撮った時に体が大きいと感じたから	いいえ	はい	食事制限	特になし	2	1237831272
