設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	設問10	設問11	設問12	設問13	設問14	設問15	設問16（チェック）	会員ID
26	８より太っている	５	136	X (旧Twitter)@Instagram@Facebook	該当なし	はい	身の周りの環境	いいえ	サラリーマン	人によく見られたかった。	はい	はい	運動	ストレスを貯めない	2	1235598697
26	５	１より痩せている	5	X (旧Twitter)	該当なし	はい	スポーツ・パフォーマンス向上	いいえ	男性俳優	元々かなりやせた体型だったが太りだしてから理想の体型を意識するようになった	いいえ	はい	適度な運動	ランニングなどをすること、食べ過ぎない	2	1227229395
20	５	４	45	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	野球選手	30代	いいえ	はい	ジョギング	規則正しい生活	2	1236657678
19	３	４	30	X (旧Twitter)@Instagram@Tik Tok	モデル (人)	いいえ	いいえと回答	いいえ	スポーツ選手	中学生。部活で筋トレをするようになって。	いいえ	はい	筋トレと食事	栄養バランスのとれた食事と適度な運動。	2	1235232160
17	１	３	55	X (旧Twitter)	該当なし	いいえ	いいえと回答	いいえ	モデル	とくになし	いいえ	はい	トレーニング	ビタミン摂取	2	1233725127
21	３	４	127	X (旧Twitter)@Facebook	モデル (人)	はい	理想のモデルの影響	いいえ	サッカー選手	思春期	いいえ	いいえ	踏み台昇降による有酸素運動	体重計に毎日乗る	2	1232944809
27	５	３	30	X (旧Twitter)	アニメ、漫画	いいえ	いいえと回答	いいえ	職業	時期およびそのきっかけ	いいえ	はい	方法	秘訣	2	1231794234
21	３	３	120	X (旧Twitter)	アニメ、漫画	はい	身の周りの環境	いいえ	スポーツ	特になし	はい	はい	特になし	特になし	2	1235877786
21	５	４	120	X (旧Twitter)@Instagram@Facebook@Tik Tok	モデル (人)	はい	健康状態の改善（病気予防・治療）	いいえ	なかやまきんに君　芸人	30を過ぎて中年太りが始まったから	いいえ	はい	継続した運動	暴飲暴食をやめる	2	1234678315
21	４	３	15	X (旧Twitter)@Instagram@Facebook@Tik Tok	モデル (人)	はい	身の周りの環境	いいえ	人	前	はい	はい	運動	運動	2	1232657212
